Cod UF;UF;Sgl UF;Cod IBGE;Nome Município;Latitude;Longitude;Sgl Região;Região;Chave_Localidade;Nome Municipio Tratado
31;Minas Gerais;MG;3119401;CORONEL FABRICIANO;-19,5184;-42,6279;SE;Sudeste;MG_CORONEL FABRICIANO;CORONEL FABRICIANO
31;Minas Gerais;MG;3119500;CORONEL MURTA;-16,6153;-42,1843;SE;Sudeste;MG_CORONEL MURTA;CORONEL MURTA
31;Minas Gerais;MG;3119609;CORONEL PACHECO;-21,5902;-43,2564;SE;Sudeste;MG_CORONEL PACHECO;CORONEL PACHECO
31;Minas Gerais;MG;3119708;CORONEL XAVIER CHAVES;-21,0282;-44,221;SE;Sudeste;MG_CORONEL XAVIER CHAVES;CORONEL XAVIER CHAVES
31;Minas Gerais;MG;3119807;CÓRREGO DANTA;-19,8246;-45,9045;SE;Sudeste;MG_CORREGO DANTA;CORREGO DANTA
31;Minas Gerais;MG;3119906;CÓRREGO DO BOM JESUS;-22,6274;-46,0245;SE;Sudeste;MG_CORREGO DO BOM JESUS;CORREGO DO BOM JESUS
31;Minas Gerais;MG;3119955;CÓRREGO FUNDO;-20,4479;-45,5621;SE;Sudeste;MG_CORREGO FUNDO;CORREGO FUNDO
31;Minas Gerais;MG;3120003;CÓRREGO NOVO;-19,8366;-42,3992;SE;Sudeste;MG_CORREGO NOVO;CORREGO NOVO
31;Minas Gerais;MG;3120102;COUTO DE MAGALHÃES DE MINAS;-18,0732;-43,4652;SE;Sudeste;MG_COUTO DE MAGALHAES DE MINAS;COUTO DE MAGALHAES DE MINAS
31;Minas Gerais;MG;3120151;CRISÓLITA;-17,2386;-40,9187;SE;Sudeste;MG_CRISOLITA;CRISOLITA
31;Minas Gerais;MG;3120201;CRISTAIS;-20,8738;-45,5171;SE;Sudeste;MG_CRISTAIS;CRISTAIS
31;Minas Gerais;MG;3120300;CRISTÁLIA;-16,7165;-42,8575;SE;Sudeste;MG_CRISTALIA;CRISTALIA
31;Minas Gerais;MG;3120409;CRISTIANO OTONI;-20,8329;-43,8169;SE;Sudeste;MG_CRISTIANO OTONI;CRISTIANO OTONI
31;Minas Gerais;MG;3120508;CRISTINA;-22,2085;-45,2677;SE;Sudeste;MG_CRISTINA;CRISTINA
31;Minas Gerais;MG;3120607;CRUCILÂNDIA;-20,3928;-44,3338;SE;Sudeste;MG_CRUCILANDIA;CRUCILANDIA
31;Minas Gerais;MG;3120706;CRUZEIRO DA FORTALEZA;-18,9461;-46,6728;SE;Sudeste;MG_CRUZEIRO DA FORTALEZA;CRUZEIRO DA FORTALEZA
31;Minas Gerais;MG;3120805;CRUZÍLIA;-21,8405;-44,8071;SE;Sudeste;MG_CRUZILIA;CRUZILIA
