NOME_PARLAMENTAR;PARTIDO;UF
Acir Gurgacz;PDT;RO
Aécio Neves;PSDB;MG
Airton Sandoval;MDB;SP
Aloysio Nunes Ferreira;PSDB;SP
Alvaro Dias;PODEMOS;PR
Ana Amélia;PP;RS
Ângela Portela;PDT;RR
Antonio Anastasia;PSDB;MG
Antônio Carlos Valadares;PSB;SE
Armando Monteiro;PTB;PE
Ataídes Oliveira;PSDB;TO
Benedito de Lira;PP;AL
Blairo Maggi;PL;MT
Cássio Cunha Lima;PSDB;PB
Cidinho Santos;PL;MT
Ciro Nogueira;PP;PI
Cristovam Buarque;CIDADANIA;DF
Dalirio Beber;PSDB;SC
Dário Berger;MDB;SC
Davi Alcolumbre;DEM;AP
Deca;PSDB;PB
Delcídio do Amaral;S/Partido;MS
Demóstenes Torres;S/Partido;GO
Donizeti Nogueira;PT;TO
Douglas Cintra;PTB;PE
Edison Lobão;MDB;MA
Eduardo Amorim;PSDB;SE
Eduardo Braga;MDB;AM
Eduardo Lopes;REPUBLICANOS;RJ
Elber Batalha;PSB;SE
Elmano Férrer;PODEMOS;PI
Eunício Oliveira;MDB;CE
Fátima Bezerra;PT;RN
Fernando Bezerra Coelho;MDB;PE
Fernando Collor;PTC;AL
Fernando Ribeiro;MDB;PA
Flexa Ribeiro;PSDB;PA
Garibaldi Alves Filho;MDB;RN
Gilberto Piselo;PDT;RO
Gilvam Borges;MDB;AP
Givago Tenório;PP;AL
Gladson Cameli;PP;AC
Gleisi Hoffmann;PT;PR
Guaracy Silveira;PSL;TO
Hélio José;PROS;DF
Humberto Costa;PT;PE
Ione Guimarães;PTB;GO
Itamar Franco;CIDADANIA;MG
Ivo Cassol;PP;RO
Jader Barbalho;MDB;PA
Jean Paul Prates;PT;RN
João Alberto Souza;MDB;MA
João Capiberibe;PSB;AP
João Ribeiro;PL;TO
Jorge Viana;PT;AC
José Agripino;DEM;RN
José Amauri;PODEMOS;PI
José Aníbal;PSDB;SP
José Maranhão;MDB;PB
José Medeiros;PODEMOS;MT
José Pimentel;PT;CE
José Serra;PSDB;SP
Kátia Abreu;PDT;TO
Lasier Martins;PSD;RS
Lídice da Mata;PSB;BA
Lindbergh Farias;PT;RJ
Lúcia Vânia;PSB;GO
Luiz Carlos do Carmo;MDB;GO
Luiz Henrique;MDB;SC
Magno Malta;PL;ES
Mailza Gomes;PP;AC
Marcelo Crivella;REPUBLICANOS;RJ
Maria do Carmo Alves;DEM;SE
Marinor Brito;PSOL;PA
Marta Suplicy;MDB;SP
Omar Aziz;PSD;AM
Otto Alencar;PSD;BA
Pastor Bel;PRTB;MA
Pastor Valadares;PDT;RO
Paulo Bauer;PSDB;SC
Paulo Paim;PT;RS
Paulo Rocha;PT;PA
Pedro Chaves dos Santos Filho;REPUBLICANOS;MS
Pedro Taques;PDT;MT
Pinto Itamaraty;PSDB;MA
Raimundo Lira;PSD;PB
Randolfe Rodrigues;REDE;AP
Reditario Cassol;PP;RO
Regina Sousa;PT;PI
Reguffe;S/Partido;DF
Renan Calheiros;MDB;AL
Ricardo Ferraço;PSDB;ES
Ricardo Franco;DEM;SE
Roberto Muniz;PP;BA
Roberto Requião;MDB;PR
Roberto Rocha;PSDB;MA
Rodrigo Rollemberg;PSB;DF
Rodrigues Palma;PL;MT
Romário;PODEMOS;RJ
Romero Jucá;MDB;RR
Ronaldo Caiado;DEM;GO
Rose de Freitas;PODEMOS;ES
Rudson Leite;PV;RR
Sandra Braga;MDB;AM
Sérgio de Castro;PDT;ES
Sérgio Petecão;PSD;AC
Simone Tebet;MDB;MS
Tasso Jereissati;PSDB;CE
Telmário Mota;PTB;RR
Thieres Pinto;PTB;RR
Valdir Raupp;MDB;RO
Vanessa Grazziotin;PCdoB;AM
Vicentinho Alves;PL;TO
Virginio de Carvalho;PSC;SE
Vital do Rêgo;MDB;PB
Waldemir Moka;MDB;MS
Walter Pinheiro;S/Partido;BA
Wellington Dias;PT;PI
Wellington Fagundes;PL;MT
Wilder Morais;DEM;GO
Wilson Santiago;PTB;PB
Wirlande da Luz;MDB;RR
Zé Santana;MDB;PI
Zezé Perrella;MDB;MG
